QTY,Part Number,Description
1,1755016,PCM2707
2,1652940,1.5kOhm
2,9694331,100uF
1,9694471,10uF
1,1666969,12MHz
2,2138753,16Ohm
1,2215635,1A FB
1,1652946,1MOhm
5,1759422,1uF
2,1652962,22Ohm
2,2320947,22nF
2,1759195,22pF
4,1469911,3.3kOhm
1,1469918,330Ohm
1,1469945,560Ohm
1,2518188,STEREOJACK
1,1568026,USB
